Wavelength (nm),30 s reaction,60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,450 s reaction,480 s reaction,570 s reaction,600 s reaction
764.0164795,-0.004468254,-0.000297069,0.008255159,-0.000783017,-0.001565038,-0.003169584,0.021437878,0.013896999,0.001572595,0.002276284,-0.000324437,-0.001423206,0.000400615,0.007644486,-0.005019985,0.001823503,0.014016809,0.009795631
762.9929199,-0.00442854,-0.000231514,0.008481872,-0.000376995,-0.001058067,-0.003043904,0.021972878,0.014705515,0.00181664,0.002124082,-0.000249055,-0.001061424,0.000584406,0.007930324,-0.00476848,0.002041421,0.014466565,0.009452103
762.0043335,-0.004671228,-0.000581837,0.008200261,-0.000753094,-0.001302852,-0.003885806,0.021820474,0.013915468,0.001352705,0.001855842,-0.000169882,-0.001432546,0.000189371,0.007507958,-0.005071005,0.00134707,0.013961952,0.009036103
761.0152588,-0.004442735,-0.000201139,0.008416652,-0.000402289,-0.001079345,-0.002956189,0.022404922,0.014460009,0.002168306,0.002300251,0.000152521,-0.000936889,0.001062546,0.007961039,-0.004634503,0.001988966,0.014618149,0.009302707
759.9906006,-0.004378674,-0.0003278,0.008363131,-0.000603397,-0.00123559,-0.003248058,0.022421522,0.014307784,0.001621128,0.002090917,-4.68E-05,-0.001352814,0.000856505,0.007793022,-0.004740622,0.001954667,0.01436215,0.00925746
759.0007935,-0.004488392,-0.000271097,0.008496945,-0.000275029,-0.001020261,-0.003233361,0.022407239,0.014851129,0.001854516,0.002270949,9.41E-05,-0.001127422,0.000745534,0.008080646,-0.005030322,0.001822567,0.014471196,0.009263515
758.0106812,-0.004325727,-0.000642325,0.008150854,-0.000961582,-0.001455921,-0.003446517,0.022284167,0.01437633,0.001651477,0.001705632,-7.95E-05,-0.000957449,0.00035714,0.007483491,-0.005000128,0.001560722,0.014186075,0.008850471
756.9848633,-0.004633632,-0.000780175,0.008485911,-0.000946756,-0.001271468,-0.003746629,0.022397509,0.014443469,0.001777053,0.001757429,-3.77E-05,-0.001447613,0.000419607,0.007548572,-0.005436519,0.001454143,0.013986867,0.009016545
755.9939575,-0.004477785,-0.000779606,0.008465243,-0.000813558,-0.001183755,-0.003557755,0.022087583,0.014313616,0.002006051,0.00210837,-5.72E-05,-0.001205182,0.000523341,0.007339853,-0.005070187,0.001656804,0.014113869,0.009085293
755.0028076,-0.004780923,-0.000765911,0.007961724,-0.001258407,-0.001457468,-0.003550463,0.022073338,0.014291706,0.001970373,0.001796755,-6.42E-05,-0.001734413,0.000173212,0.007570461,-0.005071312,0.001570075,0.013757717,0.009013533
754.0112305,-0.004566832,-0.001184272,0.008117331,-0.001315653,-0.001763494,-0.003784609,0.02178539,0.013819015,0.001495078,0.001775831,-0.000430736,-0.00161497,-7.15E-05,0.007162102,-0.005517754,0.000955699,0.013636136,0.008527198
752.9838257,-0.004461336,-0.000875357,0.008139935,-0.001045827,-0.001413711,-0.003637185,0.021861415,0.014096139,0.001720445,0.001933995,-0.000231928,-0.001370981,0.000171166,0.007272618,-0.005358133,0.001436611,0.013855145,0.009031531
751.9916382,-0.004453445,-0.00066047,0.008335212,-0.001183136,-0.001470678,-0.003620859,0.022078594,0.014157164,0.001657375,0.001934047,-6.09E-05,-0.001391624,2.58E-05,0.007678816,-0.005254466,0.001501156,0.014120232,0.008830341
750.9989624,-0.004259188,-0.000654422,0.008191265,-0.001067932,-0.001333202,-0.003401213,0.022468027,0.014191157,0.001780146,0.001876432,-0.000317401,-0.001280759,6.26E-05,0.007655367,-0.005237535,0.0013908,0.013891146,0.008797373
750.0060425,-0.004900317,-0.0009528,0.007894789,-0.001467995,-0.001768857,-0.004048738,0.021557203,0.014062823,0.001368052,0.001437702,-0.000603293,-0.00170832,-0.000356148,0.007149233,-0.00569847,0.001084007,0.013856214,0.00866505
749.0126953,-0.004233041,-0.000541766,0.008350623,-0.000995675,-0.001364736,-0.003488838,0.022147371,0.014336544,0.001838138,0.001800914,-0.000155857,-0.001121123,3.13E-05,0.007542593,-0.005323972,0.001368882,0.013970266,0.008974102
747.9834595,-0.004408194,-0.000659591,0.008276345,-0.001273171,-0.001461906,-0.003809141,0.022238608,0.014386017,0.001517469,0.001401187,-0.000129307,-0.001613835,-2.69E-05,0.007433851,-0.005299986,0.001255392,0.013951901,0.00884804
746.9894409,-0.00437483,-0.000709421,0.008245292,-0.001121742,-0.001228311,-0.003475177,0.022292368,0.014336304,0.001759118,0.001500117,-0.000371357,-0.001184169,0.000129501,0.007601518,-0.005458555,0.001415627,0.013687799,0.008774312
745.9949951,-0.00442813,-0.000743688,0.007960591,-0.001048978,-0.001434197,-0.003503475,0.022581853,0.014474567,0.001763901,0.00181061,-0.000307106,-0.00134915,-0.000204917,0.007438775,-0.005382525,0.001217699,0.013934366,0.008895729
745.0001831,-0.00455633,-0.000762655,0.008051453,-0.001492554,-0.001775663,-0.003872465,0.022272967,0.014028305,0.001471181,0.001433832,-0.000354027,-0.001535014,-2.52E-05,0.007651784,-0.005373678,0.001290779,0.013878397,0.008600356
744.0050659,-0.004511398,-0.000713711,0.008129649,-0.001134084,-0.001300684,-0.003829822,0.022501858,0.014297404,0.001667172,0.001504923,-0.00027239,-0.001407157,-9.68E-05,0.007463634,-0.005555784,0.00120459,0.013903387,0.008490266
743.0095825,-0.004518622,-0.000637259,0.008177363,-0.001007038,-0.001513914,-0.003714137,0.022510963,0.014207205,0.001998224,0.001361637,-0.00033587,-0.001255775,0.000206826,0.00776087,-0.005386053,0.00084875,0.01392167,0.008693994
742.0137939,-0.00414613,-0.000805135,0.008233236,-0.001190106,-0.001544145,-0.003607253,0.022390449,0.01406317,0.001715819,0.001378984,-0.000307675,-0.001353692,2.85E-07,0.007583395,-0.00548565,0.001228005,0.013960536,0.008769795
741.0176392,-0.004550336,-0.000848748,0.008108311,-0.001192275,-0.001606614,-0.003837366,0.022137702,0.014143097,0.001832523,0.001132226,-0.000403737,-0.001646484,0.000117668,0.007296257,-0.005513255,0.001034366,0.013905739,0.008630378
739.9855957,-0.004401224,-0.000706681,0.008223475,-0.001111776,-0.001570248,-0.003390939,0.022392085,0.0142255,0.001881085,0.001230445,-0.00015741,-0.001352659,0.000238657,0.007774943,-0.005407273,0.001220788,0.014030979,0.008695314
738.9886475,-0.004012987,-0.000677838,0.008248036,-0.000845802,-0.00153001,-0.00352453,0.022480974,0.014240131,0.002060953,0.001340111,-0.000290654,-0.001498745,0.000355353,0.007684085,-0.005345246,0.00115369,0.014088625,0.008858133
737.991394,-0.004486342,-0.000516687,0.008162777,-0.001275443,-0.001460668,-0.003728356,0.022171997,0.014257384,0.001687961,0.00141116,-0.000336749,-0.001758441,0.000118186,0.007345065,-0.005460446,0.001162644,0.013850255,0.008722094
736.9938354,-0.004337362,-0.00082844,0.008284841,-0.001205234,-0.001694911,-0.003488735,0.022319183,0.014526705,0.001823971,0.001383269,-0.000299708,-0.001613577,0.000122691,0.007499056,-0.005511773,0.001151094,0.013865274,0.008683641
735.9958496,-0.004486496,-0.000953007,0.008334896,-0.001249374,-0.001520878,-0.003797286,0.022289507,0.014430116,0.001698771,0.001669069,-0.000274046,-0.00149694,0.000205998,0.007502506,-0.005570147,0.000950641,0.013833446,0.008394773
734.9976196,-0.004409886,-0.000942417,0.008410212,-0.001136046,-0.001553586,-0.003734105,0.02244412,0.014417271,0.001836189,0.001542407,-0.000158652,-0.001459378,0.000141257,0.007834136,-0.005536616,0.001105235,0.013974249,0.008474904
733.9990234,-0.004521543,-0.000753456,0.008434651,-0.001144669,-0.001571331,-0.003809911,0.022180116,0.014209211,0.001668965,0.001477103,-0.000323247,-0.001785047,0.000151459,0.007790492,-0.00554367,0.001262376,0.014029321,0.008507927
733.000061,-0.004486393,-0.000704045,0.008490135,-0.001329589,-0.00156349,-0.003768391,0.02194328,0.014262467,0.001610423,0.00133079,-0.000316367,-0.001546054,0.000259299,0.007769013,-0.005507223,0.001135703,0.013913224,0.008626364
732.0007324,-0.004437303,-0.000865127,0.008452943,-0.001318698,-0.001681606,-0.003743395,0.021944152,0.014211136,0.00148661,0.001354834,-0.000352631,-0.001579224,-2.35E-05,0.007887039,-0.00557306,0.001196829,0.013727418,0.008488181
731.0010986,-0.004413934,-0.000928675,0.008605162,-0.001130727,-0.001460719,-0.00355339,0.022188805,0.014164733,0.001418951,0.001553968,-0.000324747,-0.001595885,-0.000190117,0.007788067,-0.005521076,0.001335256,0.01414315,0.008499506
730.0010376,-0.004554435,-0.000853915,0.008469941,-0.001305897,-0.001483319,-0.003677999,0.021962041,0.014029562,0.001521184,0.0013183,-0.000191255,-0.001657676,-5.42E-05,0.007638242,-0.005496386,0.001310952,0.013938162,0.008603947
729.0006714,-0.004448013,-0.00081671,0.008478362,-0.001184169,-0.001458707,-0.003320095,0.022040248,0.014299303,0.00156119,0.001292466,-0.000230169,-0.001404474,6.10E-05,0.007665168,-0.005450988,0.001412173,0.014187465,0.008780017
728.000061,-0.004305992,-0.000768185,0.008773546,-0.000995003,-0.001320401,-0.003462799,0.022058658,0.014290341,0.001550201,0.00166634,-0.000225253,-0.001482235,0.0002959,0.008002908,-0.005430026,0.001535861,0.014178533,0.008897315
726.9989624,-0.004399687,-0.000860632,0.008786013,-0.001176269,-0.001599238,-0.003398336,0.022118552,0.014419465,0.001637523,0.00134559,-0.000193222,-0.001391779,0.00032126,0.008061237,-0.005434832,0.001588443,0.014178105,0.008697691
725.9975586,-0.004365963,-0.000929502,0.008840538,-0.001159695,-0.001384863,-0.003548101,0.022060184,0.014248798,0.001592886,0.001641161,-0.000298363,-0.001401893,0.000411082,0.007979679,-0.005332103,0.001758261,0.014349761,0.008505128
724.9958496,-0.004431871,-0.000888946,0.008634788,-0.001220722,-0.00159898,-0.003520319,0.022138627,0.014265784,0.001529782,0.001567918,-0.000650028,-0.001326647,0.00010467,0.008090378,-0.005446182,0.001659038,0.014249333,0.008589399
723.9938354,-0.004756292,-0.001197179,0.008171138,-0.001333873,-0.001767877,-0.003680463,0.021892395,0.013909267,0.001229225,0.001434482,-0.000734747,-0.001555443,0.000110884,0.008060999,-0.005717733,0.001196206,0.014063732,0.008371153
722.991394,-0.004960155,-0.001445446,0.00808128,-0.001691198,-0.002010098,-0.003864255,0.021453271,0.013819282,0.000952379,0.001090105,-0.001079345,-0.001950986,-0.000221424,0.00839509,-0.006038593,0.001087302,0.013541533,0.007947567
721.9886475,-0.00462979,-0.00128938,0.008143179,-0.001585053,-0.001931348,-0.00385353,0.021675471,0.01373375,0.00100515,0.001126412,-0.00110656,-0.001947275,-0.000112848,0.008835413,-0.005906488,0.001165343,0.013912662,0.00804465
720.9855347,-0.004780052,-0.001452412,0.007999718,-0.001877586,-0.002260218,-0.003852658,0.021504894,0.01372293,0.000792237,0.000972018,-0.0011283,-0.00204045,-0.000195757,0.008923341,-0.005991209,0.001003437,0.013500942,0.007814317
720.0180054,-0.004865096,-0.001240907,0.008221101,-0.001517731,-0.002131389,-0.003663111,0.021681812,0.01394864,0.000990828,0.001249811,-0.001031572,-0.00193841,3.78E-05,0.009379911,-0.005968435,0.001099811,0.013777329,0.00779434
719.0142212,-0.004834019,-0.001387444,0.008005809,-0.001690734,-0.00214262,-0.003777834,0.021651173,0.0136621,0.000930043,0.001130253,-0.001062199,-0.002063122,-2.58E-05,0.009314477,-0.006049825,0.00091689,0.013573607,0.007747141
718.0101318,-0.004719831,-0.001363033,0.008068885,-0.001696252,-0.002094552,-0.003868001,0.021904102,0.013940621,0.001024298,0.001332192,-0.00112324,-0.001932121,-0.000156271,0.009328202,-0.006063201,0.000696995,0.013423482,0.007836298
717.0056763,-0.004959234,-0.001294335,0.008016092,-0.001753337,-0.002242861,-0.004055098,0.021694928,0.01372822,0.00088929,0.001226239,-0.001288451,-0.002160393,-9.25E-05,0.009416415,-0.006192553,0.000734358,0.013402177,0.007705928
716.0009155,-0.00492243,-0.001129126,0.007977149,-0.001847945,-0.002370163,-0.003886524,0.021405952,0.013545378,0.000898577,0.001049519,-0.001127474,-0.001987577,-0.000273425,0.009198547,-0.006188011,0.000736536,0.013461129,0.008073183
714.9957886,-0.004760799,-0.001144153,0.008086843,-0.001766073,-0.002292612,-0.003918848,0.02143883,0.013531091,0.000859202,0.001023182,-0.000939679,-0.001906453,-7.20E-05,0.009178453,-0.006094854,0.000832488,0.013496749,0.008072049
713.9902954,-0.004954525,-0.001212874,0.00809742,-0.001892638,-0.002289986,-0.003917515,0.021390695,0.013703614,0.000951419,0.001097319,-0.00109804,-0.002063637,-7.20E-05,0.008924186,-0.006054522,0.000729535,0.013498218,0.008066063
712.9844971,-0.004927959,-0.00127952,0.008046179,-0.0020489,-0.002429991,-0.004039301,0.021447886,0.013543055,0.000823799,0.000996561,-0.001006573,-0.002136593,-9.39E-05,0.00856656,-0.006074076,0.000631326,0.013459554,0.007979468
712.0144043,-0.004912193,-0.001293458,0.008191291,-0.001836758,-0.002304045,-0.003901404,0.021702411,0.013648583,0.000970357,0.001259832,-0.000836243,-0.001845522,1.53E-05,0.008552463,-0.005889634,0.000835341,0.013597031,0.008194641
711.0078735,-0.004869448,-0.001337847,0.007891547,-0.001936863,-0.002303736,-0.003964817,0.021570478,0.013548156,0.000876814,0.00108014,-0.00103431,-0.00199675,-0.000131377,0.008131073,-0.005956638,0.000625311,0.01362481,0.007839488
710.0010986,-0.004832227,-0.001105373,0.008248485,-0.001833562,-0.002203354,-0.003879854,0.021912105,0.013826577,0.001171339,0.001211806,-0.000707198,-0.001851038,2.97E-05,0.008185936,-0.005710325,0.000889809,0.013582101,0.008223132
708.9939575,-0.005007088,-0.001200329,0.008010872,-0.001815724,-0.002323408,-0.004002214,0.02188205,0.013827806,0.00097456,0.00132853,-0.000755058,-0.001826241,-6.46E-05,0.007994313,-0.005718704,0.000893778,0.013525189,0.0080283
707.9865112,-0.005022134,-0.001232131,0.008049318,-0.00192573,-0.002451407,-0.004161001,0.021792602,0.01362708,0.000797761,0.001235974,-0.000815057,-0.001739363,-0.000180957,0.007754809,-0.005839118,0.000779816,0.013501556,0.008251149
707.0147705,-0.005104419,-0.001004094,0.008084338,-0.001962324,-0.002223597,-0.004053765,0.021980666,0.013945405,0.001038258,0.001326064,-0.000641808,-0.001717034,-4.48E-05,0.007728431,-0.005851888,0.000772814,0.013484146,0.008248142
706.0066528,-0.004980321,-0.001183136,0.00813073,-0.001808403,-0.002240749,-0.003985542,0.021975601,0.013943054,0.001189716,0.001562099,-0.000599209,-0.001630856,-4.37E-05,0.007838064,-0.005678082,0.00094291,0.013778505,0.008207515
704.9981689,-0.005062511,-0.001136614,0.007993232,-0.001806598,-0.002289419,-0.004106181,0.021897295,0.013851217,0.001112527,0.001534068,-0.000691536,-0.001670054,-0.000128479,0.007662454,-0.005856792,0.000858113,0.013760869,0.00814922
703.9893799,-0.004998132,-0.001192429,0.00803368,-0.001815878,-0.002282879,-0.00410095,0.022029491,0.014060764,0.001224864,0.001451468,-0.000695672,-0.001533466,-9.24E-05,0.007640587,-0.005766731,0.000803363,0.013825909,0.008159005
703.0163574,-0.004887979,-0.001095922,0.008249223,-0.001536355,-0.002271033,-0.004033658,0.022178017,0.014088091,0.001360028,0.001479779,-0.000623404,-0.001391366,-0.000133551,0.007848554,-0.005522968,0.000991943,0.014042636,0.008171164
702.006958,-0.005009647,-0.001383367,0.008047656,-0.001408912,-0.002269797,-0.004057252,0.022415416,0.014213062,0.001387554,0.001387008,-0.000689365,-0.001268732,-0.000175213,0.007629179,-0.005754776,0.000831424,0.013752988,0.007902223
700.9971313,-0.004806934,-0.001245502,0.00820952,-0.001426457,-0.002157817,-0.003989236,0.022539781,0.014302995,0.001623778,0.001614996,-0.000593005,-0.001254123,7.33E-05,0.007819535,-0.005659277,0.001105572,0.013927336,0.007619116
699.9870605,-0.004937787,-0.001354208,0.008077112,-0.001600889,-0.002192125,-0.003899813,0.022303186,0.014247273,0.001502585,0.001461259,-0.000601019,-0.001219276,-1.28E-05,0.00774353,-0.00559238,0.000996146,0.013795419,0.007655051
699.0127563,-0.004920844,-0.000814333,0.008079433,-0.001707907,-0.002279222,-0.003961226,0.021382321,0.013860651,0.001219101,0.001313834,-0.000344147,-0.001233628,6.18E-05,0.007583526,-0.005506559,0.001050064,0.014037529,0.009194159
698.0020142,-0.005065939,-0.001021965,0.008147505,-0.001710692,-0.002511378,-0.004170128,0.021347297,0.013893791,0.001219957,0.001241711,-0.000537216,-0.001281947,0.000153609,0.007597172,-0.005391115,0.001011896,0.014253051,0.009505149
696.9909058,-0.005206638,-0.001107128,0.008002196,-0.001780613,-0.002462784,-0.004260572,0.021448702,0.013871903,0.001114292,0.0013566,-0.000693759,-0.001185563,2.20E-05,0.007641799,-0.005540603,0.001108531,0.014031728,0.009029576
696.015625,-0.005086663,-0.001243282,0.008205563,-0.001725285,-0.002195937,-0.003983798,0.021922996,0.013984996,0.001377192,0.001189561,-0.000452561,-0.001096284,9.04E-05,0.007805356,-0.005624629,0.001099395,0.014115901,0.008895333
695.0039673,-0.005167759,-0.001348892,0.007963201,-0.001733433,-0.002484353,-0.00413131,0.021775238,0.014013735,0.001295192,0.001104897,-0.000567154,-0.001102636,-2.99E-05,0.007778422,-0.005706237,0.000892585,0.014133416,0.008659214
693.9919434,-0.005057445,-0.001510457,0.008036238,-0.001767413,-0.002346528,-0.00421084,0.022009665,0.014038251,0.00121949,0.001376958,-0.000462646,-0.000974806,3.26E-05,0.007828839,-0.005635106,0.000904102,0.014197416,0.008576963
693.015625,-0.004893867,-0.001230944,0.00813859,-0.001723068,-0.002256458,-0.004208123,0.021939686,0.014104509,0.001461805,0.001577583,-0.00049109,-0.000841669,0.000156043,0.007874307,-0.005596724,0.001019446,0.014349173,0.008690613
692.0029907,-0.004992246,-0.001373819,0.008244395,-0.001597845,-0.002184553,-0.004072178,0.022066148,0.014224831,0.001242386,0.001441468,-0.000518135,-0.000762914,-0.000102393,0.007998505,-0.005526546,0.001341513,0.014359795,0.008596395
690.9899292,-0.005161108,-0.001257169,0.008215271,-0.001507052,-0.002115058,-0.004002419,0.022154344,0.014251607,0.001444325,0.001429963,-0.000603138,-0.000528942,9.48E-05,0.008061131,-0.005351434,0.001313081,0.014417914,0.008834831
690.0128174,-0.004940244,-0.001450554,0.008121472,-0.001613423,-0.002221073,-0.004046635,0.022068953,0.014137989,0.001474921,0.001415341,-0.000478989,-0.000470559,-1.57E-05,0.007760633,-0.005252522,0.00121718,0.014413391,0.008661855
